"publications","somme_partages","moyenne_partages","somme_reactions","moyenne_reactions","somme_commentaires","somme_likes_commentaires","somme_commentaires_commentaires","moyenne_commentaires","engagement_total","engagement_moyen","annee"
64932,3485771,53.68,5793227,89.22,1363643,689386,1302290,51.67,12634317,194.58,2017
56172,3272401,58.26,4764224,84.81,921090,436761,1026863,42.45,10421339,185.53,2016
54980,2485133,45.20,4077796,74.17,711331,374806,1147394,40.62,8796460,159.99,2015
51810,1818624,35.10,3576051,69.02,634154,223842,1001616,35.89,7254287,140.02,2014
51304,959871,18.71,1581424,30.82,500115,34698,532248,20.80,3608356,70.33,2013
