publications,somme_partages,moyenne_partages,somme_reactions,moyenne_reactions,somme_commentaires,somme_likes_commentaires,somme_commentaires_commentaires,moyenne_commentaires,engagement_total,engagement_moyen,jour
42595,1874703,44.0123,2998850,70.4038,677613,276190,791261,40.9688,6618617,155.3848,Lundi
47325,2073487,43.8138,3061816,64.6976,717266,305843,878851,40.1893,7037263,148.7008,Mardi
48935,2178655,44.5214,3318375,67.8119,712760,293063,831334,37.5428,7334187,149.8761,Mercredi
49303,1996865,40.5019,3074818,62.3657,687036,278834,826837,36.3610,6864390,139.2286,Jeudi
47124,1791827,38.0237,3108030,65.9543,649718,265802,765386,35.6698,6580763,139.6478,Vendredi
23757,1155331,48.6312,2164990,91.1306,353876,174211,466709,41.8738,4315117,181.6356,Samedi
20159,950932,47.1716,2065843,102.4775,332064,165550,450033,47.0086,3964422,196.6577,Dimanche
