"publications","somme_partages","moyenne_partages","somme_reactions","moyenne_reactions","somme_commentaires","somme_likes_commentaires","somme_commentaires_commentaires","moyenne_commentaires","engagement_total","engagement_moyen","type"
95,3376,35.54,11191,117.80,3791,5619,10795,212.68,34772,366.02,"music"
59383,5738754,96.64,6753416,113.73,1338347,545146,1361382,54.64,15737045,265.01,"video"
96973,3176493,32.76,7817357,80.61,1537078,487064,1808881,39.53,14826873,152.90,"photo"
12196,147516,12.10,672137,55.11,261752,143501,396327,65.72,1621233,132.93,"status"
110389,2955566,26.77,4535658,41.09,988088,576921,1430290,27.13,10486523,95.00,"link"
150,56,0.37,2636,17.57,1237,1236,2720,34.62,7885,52.57,"event"
3,34,11.33,74,24.67,15,3,11,9.67,137,45.67,"offer"
9,5,0.56,253,28.11,25,3,5,3.67,291,32.33,"note"
