titre,publications,somme_partages,moyenne_partages,somme_reactions,moyenne_reactions,somme_commentaires,somme_likes_commentaires,somme_commentaires_commentaires,moyenne_commentaires,engagement_total,engagement_moyen,annee
ICI Saguenay–Lac-Saint-Jean,678,42018,61.97,46832,69.07,10116,3979,6020,29.67,108965,160.72,2017
ICI Saguenay–Lac-Saint-Jean,593,128024,215.89,51513,86.87,10597,4182,4630,32.73,198946,335.49,2016
ICI Saguenay–Lac-Saint-Jean,594,19125,32.20,11423,19.23,5606,832,3781,17.20,40767,68.63,2015
ICI Saguenay–Lac-Saint-Jean,591,7600,12.86,4490,7.60,4742,66,4449,15.66,21347,36.12,2014
ICI Saguenay–Lac-Saint-Jean,597,3731,6.25,2398,4.02,2878,0,2525,9.05,11532,19.32,2013
Info Dimanche,700,10992,15.70,15421,22.03,2297,1051,1240,6.55,31001,44.29,2017
Info Dimanche,586,8918,15.22,9115,15.55,992,465,991,4.18,20481,34.95,2016
Info Dimanche,593,7341,12.38,10060,16.96,1309,396,1645,5.65,20751,34.99,2015
Info Dimanche,585,5074,8.67,5702,9.75,752,78,855,2.88,12461,21.30,2014
Info Dimanche,591,5305,8.98,5344,9.04,961,86,1287,3.95,12983,21.97,2013
Infoman,602,74994,124.57,501585,833.20,50303,24892,40400,192.02,692174,1149.79,2017
Infoman,442,123648,279.75,287505,650.46,25164,10257,22198,130.36,468772,1060.57,2016
Infoman,565,23431,41.47,119706,211.87,10299,2939,15923,51.61,172298,304.95,2015
Infoman,579,6703,11.58,35471,61.26,3566,511,3653,13.35,49904,86.19,2014
Infoman,597,6915,11.58,27899,46.73,3495,232,3628,12.32,42169,70.63,2013
Infopresse,711,1961,2.76,9507,13.37,895,254,510,2.33,13127,18.46,2017
Infopresse,589,3287,5.58,10781,18.30,581,119,312,1.72,15080,25.60,2016
Infopresse,584,3173,5.43,13878,23.76,867,107,481,2.49,18506,31.69,2015
Infopresse,575,3732,6.49,12729,22.14,1419,180,1229,4.92,19289,33.55,2014
Infopresse,573,1595,2.78,6028,10.52,460,1,260,1.26,8344,14.56,2013
Jeff Fillion,108,15432,142.89,55628,515.07,8268,3912,9237,198.31,92477,856.27,2017
Jeff Fillion,226,28658,126.81,93099,411.94,11023,5445,14404,136.60,152629,675.35,2016
Jeff Fillion,413,32770,79.35,67289,162.93,10662,3938,12826,66.41,127485,308.68,2015
Jeff Fillion,598,6528,10.92,14416,24.11,3604,423,3135,11.98,28106,47.00,2014
Jeff Fillion,593,1068,1.80,3754,6.33,1271,86,527,3.18,6706,11.31,2013
Journal L'Express de Drummondville,757,22570,29.82,31496,41.61,10224,3946,5501,25.99,73737,97.41,2017
Journal L'Express de Drummondville,570,14238,24.98,17267,30.29,5463,2080,3301,19.02,42349,74.30,2016
Journal L'Express de Drummondville,581,9052,15.58,15407,26.52,3875,1065,3558,14.63,32957,56.72,2015
Journal L'Express de Drummondville,592,6586,11.13,3825,6.46,1215,10,671,3.20,12307,20.79,2014
Journal L'Express de Drummondville,595,2432,4.09,2258,3.79,528,0,200,1.22,5418,9.11,2013
Journal Le Canada français,689,35986,52.23,29616,42.98,8213,5430,6027,28.55,85272,123.76,2017
Journal Le Canada français,596,19932,33.44,15184,25.48,2871,1347,2287,10.91,41621,69.83,2016
Journal Le Canada français,577,10292,17.84,7794,13.51,1735,401,1082,5.58,21304,36.92,2015
Journal Le Canada français,588,5377,9.14,2897,4.93,723,85,640,2.46,9722,16.53,2014
Journal Le Canada français,572,2623,4.59,2655,4.64,403,28,177,1.06,5886,10.29,2013
Journal Le Manic,696,23869,34.29,24156,34.71,6913,1400,2295,15.24,58633,84.24,2017
Journal Le Manic,576,22203,38.55,20561,35.70,6609,938,1990,16.56,52301,90.80,2016
Journal Le Manic,590,12389,21.00,15041,25.49,2352,688,2677,9.69,33147,56.18,2015
Journal Le Manic,353,6126,17.35,4166,11.80,552,68,598,3.45,11510,32.61,2014
Journal Le Manic,533,5299,9.94,5434,10.20,1146,49,595,3.36,12523,23.50,2013
Journal Le Soleil de Châteauguay,696,25777,37.04,21700,31.18,6510,2708,5365,20.95,62060,89.17,2017
Journal Le Soleil de Châteauguay,595,10667,17.93,16947,28.48,3581,1414,2819,13.13,35428,59.54,2016
Journal Le Soleil de Châteauguay,585,11538,19.72,11928,20.39,2939,757,2954,11.37,30116,51.48,2015
Journal Le Soleil de Châteauguay,591,13668,23.13,7134,12.07,2312,22,2850,8.77,25986,43.97,2014
Journal Le Soleil de Châteauguay,593,2953,4.98,4499,7.59,2186,1,1936,6.95,11575,19.52,2013
Journal Métro,617,13531,21.93,44557,72.22,8498,4576,9561,36.69,80723,130.83,2017
Journal Métro,600,13990,23.32,31416,52.36,5334,2424,5568,22.21,58732,97.89,2016
Journal Métro,591,8630,14.60,22715,38.43,3228,1635,3557,14.25,39765,67.28,2015
Journal Métro,591,13953,23.61,29914,50.62,4644,852,5242,18.17,54605,92.39,2014
Journal Métro,585,6127,10.47,13218,22.59,2510,515,2478,9.41,24848,42.48,2013
KYK 95.7 Radio X,678,17935,26.45,24595,36.28,16688,6773,9742,48.97,75733,111.70,2017
KYK 95.7 Radio X,479,7997,16.70,15489,32.34,11073,3081,7836,45.91,45476,94.94,2016
KYK 95.7 Radio X,573,25650,44.76,18492,32.27,12066,2660,10864,44.66,69732,121.70,2015
KYK 95.7 Radio X,581,5793,9.97,7329,12.61,6188,855,4965,20.67,25130,43.25,2014
KYK 95.7 Radio X,580,6829,11.77,9630,16.60,7711,517,5987,24.51,30674,52.89,2013
L'actualité,658,10022,15.23,25063,38.09,2919,1549,2468,10.54,42021,63.86,2017
L'actualité,593,34436,58.07,40023,67.49,4251,2650,4815,19.76,86175,145.32,2016
L'actualité,600,27140,45.23,43713,72.86,6772,4453,9482,34.51,91560,152.60,2015
L'actualité,592,17844,30.14,27568,46.57,7188,2835,10232,34.21,65667,110.92,2014
L'actualité,595,3974,6.68,5716,9.61,1208,99,574,3.16,11571,19.45,2013
L'Avantage,595,17817,29.94,20892,35.11,4107,1842,3994,16.71,48652,81.77,2017
L'Avantage,594,12930,21.77,17326,29.17,2770,1053,2308,10.32,36387,61.26,2016
L'Avantage,591,3160,5.35,8397,14.21,1913,482,1873,7.22,15825,26.78,2015
L'Avantage,594,3861,6.50,10051,16.92,2096,276,1355,6.27,17639,29.70,2014
L'Avantage,554,7564,13.65,8009,14.46,1643,86,805,4.57,18107,32.68,2013
L'Écho Abitibien,723,13628,18.85,18199,25.17,2905,1456,2340,9.27,38528,53.29,2017
L'Écho Abitibien,595,10073,16.93,15021,25.25,1708,623,1365,6.21,28790,48.39,2016
L'Écho Abitibien,586,9609,16.40,14461,24.68,1846,723,2037,7.86,28676,48.94,2015
L'Écho Abitibien,590,7481,12.68,10917,18.50,1564,258,1495,5.62,21715,36.81,2014
L'Écho Abitibien,594,1373,2.31,2950,4.97,781,17,291,1.83,5412,9.11,2013
L'Éclaireur Progrès,770,8699,11.30,10086,13.10,1713,573,1132,4.44,22203,28.84,2017
L'Éclaireur Progrès,595,6464,10.86,6654,11.18,1018,225,491,2.91,14852,24.96,2016
L'Éclaireur Progrès,596,3923,6.58,3907,6.56,689,119,404,2.03,9042,15.17,2015
L'Éclaireur Progrès,595,1390,2.34,1016,1.71,134,3,88,0.38,2631,4.42,2014
L'Éclaireur Progrès,594,694,1.17,708,1.19,194,4,17,0.36,1617,2.72,2013
L'Hebdo du St-Maurice,739,18880,25.55,21006,28.42,4768,1860,3131,13.21,49645,67.18,2017
L'Hebdo du St-Maurice,553,14249,25.77,11996,21.69,2241,632,1432,7.78,30550,55.24,2016
L'Hebdo du St-Maurice,597,8130,13.62,13021,21.81,2874,600,1476,8.29,26101,43.72,2015
L'Hebdo du St-Maurice,590,2870,4.86,6249,10.59,1784,19,1192,5.08,12114,20.53,2014
L'Hebdo du St-Maurice,596,2541,4.26,2941,4.93,781,0,419,2.01,6682,11.21,2013
L'Hebdo Journal,740,16724,22.60,16593,22.42,4622,1639,2073,11.26,41651,56.29,2017
L'Hebdo Journal,564,6290,11.15,7742,13.73,1432,456,943,5.02,16863,29.90,2016
L'Hebdo Journal,592,3276,5.53,4571,7.72,507,96,202,1.36,8652,14.61,2015
L'Hebdo Journal,588,1783,3.03,1850,3.15,788,21,104,1.55,4546,7.73,2014
L'Hebdo Journal,597,509,0.85,718,1.20,235,7,50,0.49,1519,2.54,2013
La Frontière / Le Citoyen,731,15265,20.88,24852,34.00,5102,2790,4667,17.18,52676,72.06,2017
La Frontière / Le Citoyen,595,10515,17.67,18935,31.82,2639,1152,2439,10.47,35680,59.97,2016
La Frontière / Le Citoyen,591,7951,13.45,10975,18.57,1837,706,2442,8.43,23911,40.46,2015
La Frontière / Le Citoyen,591,6422,10.87,8747,14.80,2102,254,1884,7.17,19409,32.84,2014
La Frontière / Le Citoyen,596,2495,4.19,5806,9.74,1692,129,1309,5.25,11431,19.18,2013
La Presse,598,76887,128.57,186966,312.65,28399,27211,61029,195.05,380492,636.27,2017
La Presse,594,182749,307.66,286626,482.54,30479,20475,64298,194.03,584627,984.22,2016
La Presse,598,138168,231.05,109172,182.56,17917,9411,30793,97.19,305461,510.80,2015
La Presse,598,68506,114.56,72291,120.89,11340,4231,24317,66.70,180685,302.15,2014
La Presse,596,3803,6.38,7814,13.11,2806,0,4809,12.78,19232,32.27,2013
La Terre de chez nous,730,11981,16.41,25759,35.29,4660,1830,3098,13.13,47328,64.83,2017
La Terre de chez nous,591,11725,19.84,13963,23.63,1705,865,1348,6.63,29606,50.09,2016
La Terre de chez nous,576,9031,15.68,10893,18.91,1254,236,968,4.27,22382,38.86,2015
La Terre de chez nous,564,3522,6.24,4814,8.54,679,22,570,2.25,9607,17.03,2014
La Terre de chez nous,416,1542,3.71,1890,4.54,543,0,330,2.10,4305,10.35,2013
La Tribune,596,12610,21.16,14838,24.90,3536,754,3544,13.14,35282,59.20,2017
La Tribune,596,6616,11.10,11700,19.63,2456,635,1949,8.46,23356,39.19,2016
La Tribune,598,3684,6.16,4839,8.09,821,193,502,2.54,10039,16.79,2015
La Tribune,598,1288,2.15,1911,3.20,326,38,225,0.98,3788,6.33,2014
La Tribune,586,671,1.15,1572,2.68,246,0,100,0.59,2589,4.42,2013
La Voix de l'Est,596,7586,12.73,8044,13.50,1586,436,1058,5.17,18710,31.39,2017
La Voix de l'Est,592,5153,8.70,3976,6.72,611,193,322,1.90,10255,17.32,2016
La Voix de l'Est,596,2006,3.37,2545,4.27,616,80,508,2.02,5755,9.66,2015
La Voix de l'Est,598,1680,2.81,1750,2.93,404,4,229,1.07,4067,6.80,2014
La Voix de l'Est,599,807,1.35,764,1.28,267,0,114,0.64,1952,3.26,2013
Le 15-18,695,25000,35.97,25200,36.26,4679,1776,4685,16.03,61340,88.26,2017
Le 15-18,584,22897,39.21,20784,35.59,3181,837,2915,11.87,50614,86.67,2016
Le 15-18,597,39751,66.58,32451,54.36,3715,552,3047,12.25,79516,133.19,2015
Le 15-18,595,1874,3.15,1632,2.74,917,221,499,2.75,5143,8.64,2014
Le 15-18,263,123,0.47,334,1.27,201,34,49,1.08,741,2.82,2013
Le Courrier du Haut-Richelieu,524,20085,38.33,12323,23.52,5947,706,902,14.42,39963,76.27,2017
Le Courrier du Haut-Richelieu,563,32919,58.47,20946,37.20,9012,386,1363,19.11,64626,114.79,2016
